Model,R2,Log_R2,RMSE,MAE
SVM,0.6960250872467838,0.8087413844286915,64506.70802842568,34891.572987145584
Random Forest,0.7062565933063233,0.7222463433788724,63411.79858646708,41673.17526575997
Decision Tree,0.6103602750962202,0.6861094589279566,73032.74459632982,45477.8181818182
Linear Regression,0.3531316440040523,0.7047719305626903,94100.93986612464,53711.22926708641
MLP,-260.3434013078876,-9.621213800522165,1891436.5513546534,698330.460828546
XGBoost,0.754624628646633,0.7430850052932108,57956.41223081016,37414.92826704541
LightGBM,0.579001181704031,0.7114657271706284,75914.79896288038,49250.132923691766
CatBoost,0.7316916648930009,0.7598681870723272,60604.2512595618,41352.0825340232
Gradient Boosting,0.6763685666649606,0.7370066576235909,66559.70005919543,42659.285481226325
SVR (Linear),0.07637364553069836,0.6111047100057467,112443.45100571222,65717.28358795978
GRU,-6381.914180253034,-40.48112508928866,9347500.789410837,3849953.830182856
